iter	MultiClass
0	1.732079902
1	1.680065016
2	1.636690974
3	1.599491582
4	1.566871273
5	1.541116078
6	1.519070352
7	1.49895511
8	1.482097973
9	1.466611246
10	1.453817497
11	1.442097348
12	1.432085987
13	1.422721347
14	1.413563796
15	1.40655383
16	1.399798233
17	1.394367383
18	1.389134162
19	1.382540186
20	1.377149669
21	1.372753947
22	1.369324158
23	1.365283493
24	1.36235329
25	1.359180376
26	1.356858597
27	1.354594423
28	1.352125645
29	1.349120746
30	1.347263947
31	1.345771398
32	1.342979496
33	1.341973781
34	1.341380201
35	1.340076294
36	1.338362835
37	1.337758029
38	1.337490725
39	1.336224618
40	1.336007051
41	1.335071399
42	1.334190217
43	1.333065908
44	1.33174312
45	1.331104829
46	1.330091888
47	1.328853569
48	1.327693238
49	1.327089426
50	1.32523909
51	1.323768745
52	1.322687561
53	1.322247047
54	1.321990932
55	1.321460103
56	1.320923837
57	1.320793376
58	1.320053146
59	1.318445192
60	1.318015547
61	1.317557052
62	1.316779091
63	1.316623923
64	1.316321484
65	1.315292326
66	1.314839251
67	1.314709717
68	1.314299644
69	1.314241649
70	1.31372796
71	1.313197019
72	1.312317077
73	1.311744739
74	1.310876364
75	1.310759373
76	1.309681806
77	1.308879196
78	1.30850381
79	1.308478651
80	1.308045501
81	1.307875141
82	1.307243848
83	1.306968689
84	1.306536075
85	1.306415484
86	1.306180173
87	1.306165158
88	1.305272474
89	1.304945287
90	1.304028897
91	1.303974256
92	1.303615165
93	1.303082014
94	1.302658249
95	1.302333417
96	1.302146384
97	1.30160394
98	1.300910141
99	1.300902649
100	1.30079288
101	1.300367335
102	1.299654066
103	1.299234133
104	1.298967112
105	1.298656659
106	1.298307632
107	1.298084241
108	1.297846809
109	1.297434872
110	1.297200525
111	1.29677381
112	1.296483566
113	1.296139962
114	1.295795303
115	1.295533082
116	1.295112172
117	1.294850098
118	1.294482109
119	1.294307012
120	1.294048399
121	1.29358432
122	1.293353601
123	1.292590372
124	1.292282531
125	1.291493282
126	1.291146803
127	1.290866532
128	1.290375349
129	1.290020032
130	1.289131358
131	1.288865419
132	1.288302889
133	1.287692677
134	1.287072836
135	1.286703604
136	1.286366146
137	1.286226797
138	1.285865133
139	1.285413622
140	1.284797396
141	1.284117083
142	1.283752803
143	1.283396764
144	1.282802939
145	1.282634116
146	1.282078103
147	1.281949229
148	1.281123737
149	1.280764222
150	1.28030362
151	1.280083299
152	1.2799102
153	1.279644461
154	1.278871181
155	1.278386258
156	1.278062491
157	1.277697413
158	1.277527674
159	1.277192914
160	1.276799048
161	1.276420474
162	1.276173115
163	1.275882441
164	1.275288336
165	1.27493239
166	1.274629536
167	1.274326204
168	1.273859082
169	1.273369043
170	1.273230344
171	1.272982631
172	1.272499013
173	1.272234143
174	1.271976108
175	1.271220865
176	1.271005266
177	1.270798312
178	1.270664686
179	1.270198089
180	1.270029523
181	1.269889246
182	1.26973521
183	1.26946607
184	1.269330498
185	1.268944943
186	1.268686861
187	1.26828131
188	1.267675532
189	1.267520622
190	1.267140256
191	1.266802906
192	1.266528559
193	1.266209923
194	1.265948571
195	1.26567747
196	1.265068755
197	1.264876055
198	1.264751652
199	1.264551837
200	1.264293586
201	1.26409582
202	1.263565125
203	1.263450941
204	1.262986981
205	1.262679485
206	1.262228561
207	1.261781633
208	1.261638202
209	1.26148274
210	1.261272322
211	1.261168755
212	1.26075167
213	1.260556533
214	1.26029416
215	1.260084206
216	1.259814948
217	1.259226704
218	1.259027223
219	1.258786533
220	1.258634665
221	1.258475326
222	1.258283626
223	1.257993883
224	1.257780979
225	1.257594957
226	1.257451494
227	1.257206076
228	1.256723657
229	1.256439179
230	1.25623774
231	1.256005565
232	1.25567789
233	1.255531477
234	1.255233434
235	1.255080689
236	1.254800029
237	1.25440364
238	1.254248439
239	1.253991134
240	1.253702008
241	1.253533618
242	1.253373443
243	1.253216072
244	1.25304144
245	1.252623695
246	1.252427944
247	1.252180163
248	1.251892926
249	1.251533342
250	1.251397767
251	1.251295253
252	1.25108682
253	1.250911918
254	1.250756059
255	1.250622829
256	1.250315469
257	1.249787139
258	1.249700959
259	1.249233513
260	1.248903247
261	1.248721742
262	1.248473772
263	1.248047395
264	1.247845323
265	1.247617833
266	1.247479381
267	1.247336516
268	1.247217205
269	1.247002596
270	1.246835151
271	1.246728597
272	1.246152684
273	1.246010455
274	1.245654622
275	1.245331692
276	1.244981069
277	1.244833073
278	1.244676361
279	1.244526225
280	1.244309994
281	1.244082459
282	1.243904156
283	1.243442399
284	1.243262112
285	1.243065466
286	1.242633881
287	1.242476215
288	1.242075366
289	1.241871717
290	1.241560897
291	1.2413308
292	1.24117175
293	1.240750677
294	1.240510069
295	1.240397431
296	1.240270998
297	1.240118576
298	1.239930127
299	1.239828469
300	1.239472406
301	1.239216058
302	1.239127085
303	1.238954833
304	1.238849974
305	1.238733202
306	1.238560959
307	1.238408317
308	1.238126178
309	1.23792587
310	1.237538614
311	1.237322064
312	1.23693133
313	1.236802803
314	1.236673022
315	1.236404504
316	1.236232211
317	1.236084413
318	1.235830194
319	1.235422538
320	1.235247268
321	1.235086346
322	1.234933468
323	1.234744443
324	1.234574011
325	1.23444077
326	1.234328503
327	1.234035947
328	1.233763905
329	1.233548548
330	1.233438579
331	1.233114596
332	1.232960598
333	1.232650002
334	1.232349466
335	1.232178824
336	1.232049265
337	1.23187146
338	1.231714032
339	1.231533218
340	1.231314947
341	1.231193478
342	1.231067663
343	1.230921
344	1.23065968
345	1.230395964
346	1.230175359
347	1.229975369
348	1.229850107
349	1.229694154
350	1.229385501
351	1.229169184
