iter	Passed	Remaining
0	25	25004
1	38	19344
2	51	17030
3	62	15631
4	72	14411
5	82	13667
6	92	13051
7	101	12597
8	109	12019
9	118	11742
10	128	11510
11	138	11362
12	147	11192
13	156	11044
14	166	10912
15	178	10998
16	194	11218
17	208	11352
18	219	11348
19	229	11230
20	238	11136
21	248	11039
22	257	10957
23	267	10882
24	277	10818
25	287	10760
26	296	10696
27	305	10621
28	315	10561
29	324	10505
30	335	10474
31	344	10420
32	354	10374
33	367	10428
34	374	10326
35	387	10376
36	397	10349
37	406	10281
38	411	10139
39	421	10109
40	427	9994
41	436	9955
42	445	9922
43	455	9901
44	465	9868
45	474	9841
46	484	9816
47	493	9786
48	503	9770
49	512	9742
50	522	9718
51	532	9706
52	541	9680
53	551	9659
54	560	9626
55	572	9652
56	585	9692
57	591	9609
58	603	9622
59	613	9613
60	622	9586
61	632	9571
62	642	9554
63	648	9483
64	658	9469
65	668	9454
66	678	9443
67	688	9434
68	702	9483
69	709	9424
70	724	9478
71	736	9487
72	748	9504
73	764	9564
74	776	9576
75	783	9525
76	794	9524
77	804	9505
78	813	9488
79	819	9428
80	829	9410
81	838	9390
82	848	9373
83	857	9354
84	868	9351
85	879	9343
86	891	9356
87	897	9300
88	908	9301
89	918	9283
90	944	9437
91	969	9567
92	992	9680
93	1005	9688
94	1015	9670
95	1028	9683
96	1039	9674
97	1048	9650
98	1059	9642
99	1065	9587
100	1074	9565
101	1084	9546
102	1093	9525
103	1104	9511
104	1113	9492
105	1125	9489
106	1137	9496
107	1150	9504
108	1165	9529
109	1176	9516
110	1187	9512
111	1198	9500
112	1209	9497
113	1221	9493
114	1233	9490
115	1243	9472
116	1253	9459
117	1263	9443
118	1273	9430
119	1284	9420
120	1297	9423
121	1307	9409
122	1317	9396
123	1327	9380
124	1346	9422
125	1356	9410
126	1366	9396
127	1380	9404
128	1391	9396
129	1402	9388
130	1415	9387
131	1424	9366
132	1434	9352
133	1444	9332
134	1453	9315
135	1463	9297
136	1472	9278
137	1483	9267
138	1492	9246
139	1502	9229
140	1512	9215
141	1522	9198
142	1531	9181
143	1546	9190
144	1558	9189
145	1568	9177
146	1580	9168
147	1589	9150
148	1599	9134
149	1609	9119
150	1618	9100
151	1627	9082
152	1637	9062
153	1646	9044
154	1657	9034
155	1668	9025
156	1679	9015
157	1689	9002
158	1699	8989
159	1710	8980
160	1720	8965
161	1730	8950
162	1744	8958
163	1756	8956
164	1767	8945
165	1778	8933
166	1787	8918
167	1797	8901
168	1807	8885
169	1816	8867
170	1825	8850
171	1834	8832
172	1844	8817
173	1853	8800
174	1863	8786
175	1873	8773
176	1883	8757
177	1892	8741
178	1902	8724
179	1911	8709
180	1921	8693
181	1930	8677
182	1947	8695
183	1958	8687
184	1969	8674
185	1978	8657
186	1987	8642
187	1997	8627
188	2007	8614
189	2016	8598
190	2026	8583
191	2035	8566
192	2045	8554
193	2055	8538
194	2064	8522
195	2073	8506
196	2083	8492
197	2092	8477
198	2101	8459
199	2111	8444
200	2120	8430
201	2129	8413
202	2148	8433
203	2159	8424
204	2170	8418
205	2180	8405
206	2190	8392
207	2199	8376
208	2209	8361
209	2218	8345
210	2227	8330
211	2237	8315
212	2247	8302
213	2256	8289
214	2266	8275
215	2275	8260
216	2285	8246
217	2296	8236
218	2305	8221
219	2315	8208
220	2324	8193
221	2336	8187
222	2347	8178
223	2357	8167
224	2368	8157
225	2378	8146
226	2388	8132
227	2398	8119
228	2407	8105
229	2419	8099
230	2431	8094
231	2448	8106
232	2462	8107
233	2478	8113
234	2491	8112
235	2506	8112
236	2521	8116
237	2536	8121
238	2552	8126
239	2567	8129
240	2581	8131
241	2601	8148
242	2616	8151
243	2632	8155
244	2647	8157
245	2662	8160
246	2675	8157
247	2686	8147
248	2698	8138
249	2709	8129
250	2722	8125
251	2736	8123
252	2747	8111
253	2759	8106
254	2772	8100
255	2781	8085
256	2792	8073
257	2803	8062
258	2813	8048
259	2824	8039
260	2835	8027
261	2844	8013
262	2854	8000
263	2865	7989
264	2876	7979
265	2886	7965
266	2895	7949
267	2904	7934
268	2914	7918
269	2927	7914
270	2940	7909
271	2951	7900
272	2961	7886
273	2971	7873
274	2980	7858
275	2990	7844
276	3000	7831
277	3009	7816
278	3019	7802
279	3028	7787
280	3037	7772
281	3047	7758
282	3056	7744
283	3066	7731
284	3076	7717
285	3085	7703
286	3095	7689
287	3104	7675
288	3114	7662
289	3126	7655
290	3139	7650
291	3151	7641
292	3161	7627
293	3171	7616
294	3181	7603
295	3190	7589
296	3200	7575
297	3209	7560
298	3218	7546
299	3228	7532
300	3238	7520
301	3247	7506
302	3257	7492
303	3266	7478
304	3276	7465
305	3285	7451
306	3295	7438
307	3304	7424
308	3314	7411
309	3330	7412
310	3341	7403
311	3352	7391
312	3363	7381
313	3372	7367
314	3381	7354
315	3391	7340
316	3400	7326
317	3409	7312
318	3419	7299
319	3429	7287
320	3438	7274
321	3448	7260
322	3458	7248
323	3467	7235
324	3477	7223
325	3487	7209
326	3496	7196
327	3506	7183
328	3520	7180
329	3533	7173
330	3544	7163
331	3555	7153
332	3564	7140
333	3575	7128
334	3584	7115
335	3593	7102
336	3603	7088
337	3612	7075
338	3622	7064
339	3633	7053
340	3644	7042
341	3654	7030
342	3663	7017
343	3673	7004
344	3682	6992
345	3692	6979
346	3705	6973
347	3716	6963
348	3726	6951
349	3737	6940
350	3746	6927
351	3756	6915
352	3766	6902
353	3775	6889
354	3784	6876
355	3793	6863
356	3803	6850
357	3812	6837
358	3822	6824
359	3831	6811
360	3841	6799
361	3850	6786
362	3859	6773
363	3869	6760
364	3879	6748
365	3888	6736
366	3900	6728
367	3913	6720
